,시가,고가,저가,종가,거래량,거래대금,등락률,날짜,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS
133,0,0,0,0,0,0,0.0,20231231,005090,SGC에너지,0.0,0.0,0.0,0.0,0.0,0.0
134,0,0,0,0,0,0,0.0,20231231,001380,SG글로벌,0.0,0.0,0.0,0.0,0.0,0.0
135,0,0,0,0,0,0,0.0,20231231,004060,SG세계물산,0.0,0.0,0.0,0.0,0.0,0.0
136,0,0,0,0,0,0,0.0,20231231,001770,SHD,0.0,0.0,0.0,0.0,0.0,0.0
137,0,0,0,0,0,0,0.0,20231231,002360,SH에너지화학,0.0,0.0,0.0,0.0,0.0,0.0
138,0,0,0,0,0,0,0.0,20231231,009160,SIMPAC,0.0,0.0,0.0,0.0,0.0,0.0
139,0,0,0,0,0,0,0.0,20231231,123700,SJM,0.0,0.0,0.0,0.0,0.0,0.0
140,0,0,0,0,0,0,0.0,20231231,025530,SJM홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
141,0,0,0,0,0,0,0.0,20231231,034730,SK,0.0,0.0,0.0,0.0,0.0,0.0
142,0,0,0,0,0,0,0.0,20231231,011790,SKC,0.0,0.0,0.0,0.0,0.0,0.0
143,0,0,0,0,0,0,0.0,20231231,018670,SK가스,0.0,0.0,0.0,0.0,0.0,0.0
144,0,0,0,0,0,0,0.0,20231231,001740,SK네트웍스,0.0,0.0,0.0,0.0,0.0,0.0
145,0,0,0,0,0,0,0.0,20231231,006120,SK디스커버리,0.0,0.0,0.0,0.0,0.0,0.0
146,0,0,0,0,0,0,0.0,20231231,006125,SK디스커버리우,0.0,0.0,0.0,0.0,0.0,0.0
147,0,0,0,0,0,0,0.0,20231231,210980,SK디앤디,0.0,0.0,0.0,0.0,0.0,0.0
148,0,0,0,0,0,0,0.0,20231231,068400,SK렌터카,0.0,0.0,0.0,0.0,0.0,0.0
149,0,0,0,0,0,0,0.0,20231231,302440,SK바이오사이언스,0.0,0.0,0.0,0.0,0.0,0.0
150,0,0,0,0,0,0,0.0,20231231,326030,SK바이오팜,0.0,0.0,0.0,0.0,0.0,0.0
151,0,0,0,0,0,0,0.0,20231231,402340,SK스퀘어,0.0,0.0,0.0,0.0,0.0,0.0
152,0,0,0,0,0,0,0.0,20231231,361610,SK아이이테크놀로지,0.0,0.0,0.0,0.0,0.0,0.0
153,0,0,0,0,0,0,0.0,20231231,100090,SK오션플랜트,0.0,0.0,0.0,0.0,0.0,0.0
154,0,0,0,0,0,0,0.0,20231231,03473K,SK우,0.0,0.0,0.0,0.0,0.0,0.0
155,0,0,0,0,0,0,0.0,20231231,096770,SK이노베이션,0.0,0.0,0.0,0.0,0.0,0.0
156,0,0,0,0,0,0,0.0,20231231,096775,SK이노베이션우,0.0,0.0,0.0,0.0,0.0,0.0
157,0,0,0,0,0,0,0.0,20231231,001510,SK증권,0.0,0.0,0.0,0.0,0.0,0.0
158,0,0,0,0,0,0,0.0,20231231,001515,SK증권우,0.0,0.0,0.0,0.0,0.0,0.0
159,0,0,0,0,0,0,0.0,20231231,285130,SK케미칼,0.0,0.0,0.0,0.0,0.0,0.0
160,0,0,0,0,0,0,0.0,20231231,28513K,SK케미칼우,0.0,0.0,0.0,0.0,0.0,0.0
161,0,0,0,0,0,0,0.0,20231231,017670,SK텔레콤,0.0,0.0,0.0,0.0,0.0,0.0
162,0,0,0,0,0,0,0.0,20231231,000660,SK하이닉스,0.0,0.0,0.0,0.0,0.0,0.0
163,0,0,0,0,0,0,0.0,20231231,003570,SNT다이내믹스,0.0,0.0,0.0,0.0,0.0,0.0
164,0,0,0,0,0,0,0.0,20231231,064960,SNT모티브,0.0,0.0,0.0,0.0,0.0,0.0
165,0,0,0,0,0,0,0.0,20231231,100840,SNT에너지,0.0,0.0,0.0,0.0,0.0,0.0
166,0,0,0,0,0,0,0.0,20231231,036530,SNT홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
167,0,0,0,0,0,0,0.0,20231231,005610,SPC삼립,0.0,0.0,0.0,0.0,0.0,0.0
168,0,0,0,0,0,0,0.0,20231231,011810,STX,0.0,0.0,0.0,0.0,0.0,0.0
169,0,0,0,0,0,0,0.0,20231231,465770,STX그린로지스,0.0,0.0,0.0,0.0,0.0,0.0
170,0,0,0,0,0,0,0.0,20231231,077970,STX엔진,0.0,0.0,0.0,0.0,0.0,0.0
171,0,0,0,0,0,0,0.0,20231231,071970,STX중공업,0.0,0.0,0.0,0.0,0.0,0.0
172,0,0,0,0,0,0,0.0,20231231,002820,SUN&L,0.0,0.0,0.0,0.0,0.0,0.0
173,0,0,0,0,0,0,0.0,20231231,084870,TBH글로벌,0.0,0.0,0.0,0.0,0.0,0.0
174,0,0,0,0,0,0,0.0,20231231,002710,TCC스틸,0.0,0.0,0.0,0.0,0.0,0.0
175,0,0,0,0,0,0,0.0,20231231,069260,TKG휴켐스,0.0,0.0,0.0,0.0,0.0,0.0
176,0,0,0,0,0,0,0.0,20231231,002900,TYM,0.0,0.0,0.0,0.0,0.0,0.0
177,0,0,0,0,0,0,0.0,20231231,024070,WISCOM,0.0,0.0,0.0,0.0,0.0,0.0
178,0,0,0,0,0,0,0.0,20231231,037270,YG PLUS,0.0,0.0,0.0,0.0,0.0,0.0
179,0,0,0,0,0,0,0.0,20231231,000500,가온전선,0.0,0.0,0.0,0.0,0.0,0.0
180,0,0,0,0,0,0,0.0,20231231,000860,강남제비스코,0.0,0.0,0.0,0.0,0.0,0.0
181,0,0,0,0,0,0,0.0,20231231,035250,강원랜드,0.0,0.0,0.0,0.0,0.0,0.0
182,0,0,0,0,0,0,0.0,20231231,011420,갤럭시아에스엠,0.0,0.0,0.0,0.0,0.0,0.0
183,0,0,0,0,0,0,0.0,20231231,002100,경농,0.0,0.0,0.0,0.0,0.0,0.0
184,0,0,0,0,0,0,0.0,20231231,009450,경동나비엔,0.0,0.0,0.0,0.0,0.0,0.0
185,0,0,0,0,0,0,0.0,20231231,267290,경동도시가스,0.0,0.0,0.0,0.0,0.0,0.0
186,0,0,0,0,0,0,0.0,20231231,012320,경동인베스트,0.0,0.0,0.0,0.0,0.0,0.0
